Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open,Volume Deviation,Valve Efficiency
2024-10-04 00:02:00,769.6177499999999,,43.854185,,17.549467046425086
2024-10-04 00:04:00,770.5826500000005,,43.850995,,17.572747762565545
2024-10-04 00:06:00,771.1929,750.0,43.850595,-21.19290000000001,17.5868246287594
2024-10-04 00:08:00,771.0110999999999,750.0,43.85021,-21.011099999999942,17.582833107792844
2024-10-04 00:10:00,771.6737250000001,750.0,43.84792,-21.673725000000104,17.59886327587186
2024-10-04 00:12:00,770.500575,750.0,43.848245,-20.500575000000026,17.571978063893308
2024-10-04 00:14:00,769.0673999999999,750.0,43.855285,-19.067399999999907,17.53647763628086
2024-10-04 00:16:00,769.1381999999999,750.0,43.852055,-19.13819999999987,17.539383835174007
2024-10-04 00:18:00,771.164925,750.0,43.854515,-21.16492500000004,17.584614700535464
2024-10-04 00:20:00,769.32315,750.0,43.85491,-19.323150000000055,17.54245931813352
2024-10-04 00:22:00,770.1642,750.0,43.85392,-20.16420000000005,17.56203377895664
2024-10-04 00:26:00,768.6043500000001,750.0,43.855675,-18.604350000000068,17.52576319352896
2024-10-04 00:28:00,768.5740499999999,750.0,43.8555,-18.574049999999943,17.52514222272184
2024-10-04 00:30:00,770.3856000000001,750.0,43.85299,-20.385600000000068,17.567454906163775
2024-10-04 00:32:00,770.381175,750.0,43.85372,-20.381174999999985,17.567061570361286
2024-10-04 00:34:00,769.74045,750.0,43.85341,-19.74045000000001,17.552575146932668
2024-10-04 00:36:00,770.2082250000001,750.0,43.852075,-20.208225000000084,17.56377661404241
2024-10-04 00:38:00,772.2862499999999,750.0,43.84641,-22.28624999999988,17.613439135965944
2024-10-04 00:40:00,771.7146749999999,750.0,43.849405,-21.714674999999943,17.599201152398496
2024-10-04 00:42:00,772.868025,750.0,43.845555,-22.86802499999999,17.6270513334701
2024-10-04 00:44:00,773.6668500000001,750.0,43.84745,-23.666850000000068,17.644507800451837
2024-10-04 00:46:00,773.2974,750.0,43.84348,-23.29740000000004,17.63767893477458
2024-10-04 00:50:00,774.126,750.0,43.843205,-24.125999999999976,17.656688725952236
2024-10-04 00:52:00,773.64555,750.0,43.8436733333333,-23.645549999999957,17.645541870151582
2024-10-04 00:54:00,772.968975,750.0,43.844955,-22.968975,17.629594983141164
2024-10-04 00:56:00,771.4329749999999,750.0,43.85132,-21.432974999999942,17.592008611825452
2024-10-04 00:58:00,767.9096999999999,750.0,43.85885,-17.90969999999993,17.508656175741912
2024-10-04 01:00:00,767.923725,750.0,43.85898,-17.92372499999999,17.508924054110683
2024-10-04 01:02:00,767.7415000000005,750.0,43.85902,-17.741500000000542,17.50475329709755
2024-10-04 01:04:00,768.5571,750.0,43.85569,-18.55709999999999,17.524679802169384
2024-10-04 01:06:00,768.68325,750.0,43.856575,-18.683250000000044,17.527202585427023
2024-10-04 01:08:00,767.0597250000001,750.0,43.859015,-17.05972500000007,17.48921060146686
2024-10-04 01:10:00,767.3344500000001,750.0,43.860195,-17.33445000000006,17.495003728322747
2024-10-04 01:14:00,766.00545,750.0,43.8615,-16.005449999999996,17.464183289631386
2024-10-04 01:16:00,766.7844,750.0,43.8622033333333,-16.784400000000005,17.481662272096937
2024-10-04 01:18:00,768.617625,750.0,43.852695,-18.617624999999975,17.527256870471273
2024-10-04 01:20:00,769.8596249999999,750.0,43.8518,-19.859624999999937,17.555937257777956
2024-10-04 01:22:00,770.499975,750.0,43.85107,-20.49997499999995,17.570832348941003
2024-10-04 01:24:00,771.79365,750.0,43.849085,-21.793649999999957,17.601130650472943
2024-10-04 01:26:00,772.9551,750.0,43.8456033333333,-22.955100000000016,17.629017847775586
2024-10-04 01:28:00,772.74495,750.0,43.84264,-22.744950000000017,17.625416118779313
2024-10-04 01:30:00,770.1711,750.0,43.84674,-20.171100000000024,17.56506696619476
2024-10-04 01:32:00,771.9664500000001,750.0,43.84853,-21.966450000000123,17.605294269775005
2024-10-04 01:34:00,771.29835,750.0,43.84812,-21.298350000000028,17.59022220559919
2024-10-04 01:38:00,769.50135,750.0,43.8537233333333,-19.501350000000002,17.54699751902538
2024-10-04 01:40:00,770.8338749999999,750.0,43.851155,-20.83387499999992,17.57841268299257
2024-10-04 01:42:00,769.572675,750.0,43.85474,-19.572675000000004,17.548217125852958
2024-10-04 01:44:00,768.0093,750.0,43.86225,-18.009300000000053,17.50956973033309
2024-10-04 01:46:00,768.95145,750.0,43.85667,-18.951450000000023,17.5332799929224
2024-10-04 01:48:00,768.362625,750.0,43.856535,-18.36262499999998,17.519907803954915
2024-10-04 01:50:00,769.3242499999994,750.0,43.8521666666667,-19.324249999999438,17.54358183512439
2024-10-04 01:52:00,769.8854999999999,750.0,43.854775,-19.885499999999865,17.55533632190877
2024-10-04 01:54:00,770.4711,750.0,43.853275,-20.47109999999998,17.569290419178405
2024-10-04 01:56:00,772.018125,750.0,43.84875,-22.018125000000055,17.606384422273287
2024-10-04 01:58:00,768.7746749999999,750.0,43.85778,-18.77467499999989,17.52880560101181
