Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open
2024-10-01 00:00:00,1318.7270059423681,,28.31
2024-10-01 00:05:00,1347.535715320496,1350.0,28.31
2024-10-01 00:10:00,1336.5996970905703,,28.31
2024-10-01 00:15:00,1329.9329242098518,,28.31
2024-10-01 00:20:00,1307.8009320221217,1350.0,
2024-10-01 00:25:00,1307.7997260168102,,28.31
2024-10-01 00:30:00,1302.90418060841,1350.0,28.31
2024-10-01 00:35:00,1343.3088072887467,1350.0,28.31
2024-10-01 00:40:00,1330.0557505871604,1350.0,28.31
2024-10-01 00:45:00,1335.4036288898023,1350.0,28.31
2024-10-01 00:50:00,1301.0292247147902,1350.0,28.31
2024-10-01 00:55:00,1348.4954926080998,1350.0,28.31
2024-10-01 01:00:00,1341.6221320400211,,
2024-10-01 01:05:00,1310.6169555339138,1350.0,28.31
2024-10-01 01:10:00,1309.091248360355,1350.0,28.31
2024-10-01 01:15:00,1309.1702254926718,1350.0,
2024-10-01 01:20:00,1315.212112147977,1350.0,28.31
2024-10-01 01:25:00,1326.2378215816118,,28.31
2024-10-01 01:30:00,1321.5972509321057,1350.0,
2024-10-01 01:35:00,1314.5614570099021,,28.31
2024-10-01 01:40:00,1330.592644736119,1350.0,28.31
2024-10-01 01:45:00,1306.974693032602,1350.0,
2024-10-01 01:50:00,1314.607232426761,1350.0,28.31
2024-10-01 01:55:00,1318.3180921646847,,28.31
2024-10-01 02:00:00,1322.803499210852,1350.0,28.31
2024-10-01 02:05:00,1339.2587980696508,1350.0,28.31
2024-10-01 02:10:00,1309.983689107918,1350.0,28.31
2024-10-01 02:15:00,1325.7117219206805,1350.0,
2024-10-01 02:20:00,1329.620728443102,1350.0,28.31
2024-10-01 02:25:00,1302.3225206359998,1350.0,28.31
2024-10-01 02:30:00,1330.377242595072,,28.31
2024-10-01 02:35:00,1308.5262061843646,1350.0,28.31
2024-10-01 02:40:00,1303.252579649264,1350.0,28.31
2024-10-01 02:45:00,1347.4442768626666,1350.0,28.31
2024-10-01 02:50:00,1348.2816016537279,1350.0,
2024-10-01 02:55:00,1340.419867405823,1350.0,28.31
2024-10-01 03:00:00,1315.2306884586685,1350.0,28.31
2024-10-01 03:05:00,1304.883605700319,1350.0,28.31
2024-10-01 03:10:00,1334.2116513256078,,28.31
2024-10-01 03:15:00,1322.00762468698,1350.0,
2024-10-01 03:20:00,1306.101911742239,1350.0,
2024-10-01 03:25:00,1324.7588455055636,1350.0,28.31
2024-10-01 03:30:00,1301.719426055761,1350.0,28.31
2024-10-01 03:35:00,1345.4660201039392,1350.0,28.31
2024-10-01 03:40:00,1312.938999080001,1350.0,28.31
2024-10-01 03:45:00,1333.126114217699,1350.0,28.31
2024-10-01 03:50:00,1315.5855538044705,1350.0,28.31
2024-10-01 03:55:00,1326.0034010588906,1350.0,28.31
2024-10-01 04:00:00,1327.335513967164,1350.0,28.31
2024-10-01 04:05:00,1309.2427227762764,1350.0,28.31
